ATADS : Airport Operations : Standard Report,,,,,,,,,,
,,,,,,,,,,
"From 1/1/2019 To 2/28/2022 | Facility=SEA, PAE, MWH",,,,,,,,,,
2019-01-16,SEA,1090,18,8,0,1116,0,0,0,1116
2019-01-17,MWH,12,7,6,9,34,0,0,0,34
2019-01-17,PAE,24,1,81,0,106,78,0,78,184
2019-01-17,SEA,1155,12,7,0,1174,0,0,0,1174
2019-01-18,MWH,18,8,19,32,77,12,12,24,101
2019-01-18,PAE,6,3,82,0,91,50,0,50,141
2019-01-18,SEA,1163,11,5,0,1179,0,0,0,1179
2019-01-19,MWH,8,2,4,0,14,0,0,0,14
2019-01-19,PAE,10,1,128,0,139,115,0,115,254
2019-01-19,SEA,949,3,3,0,955,0,0,0,955
2019-01-20,MWH,4,2,1,0,7,0,0,0,7
2019-01-20,PAE,8,0,60,0,68,19,0,19,87
2019-01-20,SEA,973,3,4,0,980,0,0,0,980
2019-01-21,MWH,12,5,27,0,44,32,0,32,76
2019-01-21,PAE,6,14,147,0,167,215,0,215,382
2019-01-21,SEA,1127,14,1,0,1142,0,0,0,1142
2019-01-22,MWH,7,103,4,26,140,442,13,455,595
2019-01-22,PAE,11,2,29,0,42,11,0,11,53
2019-01-22,SEA,1112,14,1,0,1127,0,0,0,1127
2019-01-23,MWH,12,88,14,45,159,277,24,301,460
2019-01-23,PAE,14,7,71,0,92,0,0,0,92
2019-01-23,SEA,1114,15,3,0,1132,0,0,0,1132
2019-01-24,MWH,56,119,7,36,218,439,39,478,696
2019-01-24,PAE,11,4,73,7,95,35,0,35,130
2019-01-24,SEA,1151,15,4,0,1170,0,0,0,1170
2019-01-25,MWH,31,9,31,27,98,58,28,86,184
2019-01-25,PAE,8,12,184,2,206,263,0,263,469
2019-01-25,SEA,1167,21,5,0,1193,0,0,0,1193
2019-01-26,MWH,4,2,1,0,7,0,0,0,7
2019-01-26,PAE,11,2,275,1,289,284,0,284,573
2019-01-26,SEA,991,10,4,0,1005,0,0,0,1005
2019-01-27,MWH,0,3,10,0,13,0,0,0,13
2019-01-27,PAE,2,0,22,1,25,0,0,0,25
2019-01-27,SEA,1039,7,2,0,1048,0,0,0,1048
2019-01-28,MWH,31,89,27,33,180,244,35,279,459
2019-01-28,PAE,13,3,203,5,224,253,0,253,477
2019-01-28,SEA,1159,13,7,1,1180,0,0,0,1180
2019-01-29,MWH,36,199,34,42,311,312,38,350,661
2019-01-29,PAE,10,4,215,7,236,300,26,326,562
2019-01-29,SEA,1114,17,8,1,1140,0,0,0,1140
2019-01-30,MWH,2,7,7,8,24,0,0,0,24
2019-01-30,PAE,3,3,185,0,191,258,0,258,449
2019-01-30,SEA,1094,16,8,1,1119,0,0,0,1119
2019-01-31,MWH,9,7,6,15,37,0,0,0,37
2019-01-31,PAE,15,4,164,1,184,173,0,173,357
2019-01-31,SEA,1149,14,1,1,1165,0,0,0,1165
2019-02-01,MWH,5,8,6,4,23,0,0,0,23
2019-02-01,PAE,2,3,27,0,32,0,0,0,32
2019-02-01,SEA,1168,10,1,0,1179,0,0,0,1179
2019-02-02,MWH,0,0,3,0,3,0,0,0,3
2019-02-02,PAE,2,0,95,0,97,49,0,49,146
2019-02-02,SEA,953,9,0,0,962,0,0,0,962
2019-02-03,MWH,4,1,17,0,22,28,0,28,50
2019-02-03,PAE,14,0,7,0,21,30,0,30,51
2019-02-03,SEA,933,2,4,1,940,0,0,0,940
2019-02-04,MWH,0,5,4,2,11,0,0,0,11
2019-02-04,PAE,0,0,5,0,5,0,0,0,5
2019-02-04,SEA,902,7,5,3,917,0,0,0,917
2019-02-05,MWH,11,95,20,4,130,302,8,310,440
2019-02-05,PAE,4,4,42,0,50,30,0,30,80
2019-02-05,SEA,1134,18,3,0,1155,0,0,0,1155
2019-02-06,MWH,28,81,38,16,163,338,28,366,529
2019-02-06,PAE,9,0,102,0,111,66,0,66,177
2019-02-06,SEA,1142,16,4,0,1162,0,0,0,1162
2019-02-07,MWH,13,130,18,39,200,316,61,377,577
2019-02-07,PAE,4,3,125,9,141,50,0,50,191
2019-02-07,SEA,1154,25,7,0,1186,0,0,0,1186
2019-02-08,MWH,0,4,3,4,11,0,0,0,11
2019-02-08,PAE,12,3,13,0,28,7,0,7,35
2019-02-08,SEA,890,11,3,0,904,0,0,0,904
2019-02-09,MWH,0,0,0,0,0,0,0,0,0
2019-02-09,PAE,0,0,11,0,11,6,0,6,17
2019-02-09,SEA,787,1,2,0,790,0,0,0,790
2019-02-10,MWH,12,0,5,0,17,0,0,0,17
2019-02-10,PAE,2,0,23,0,25,17,0,17,42
2019-02-10,SEA,923,3,2,0,928,0,0,0,928
2019-02-11,MWH,0,4,9,0,13,0,0,0,13
2019-02-11,PAE,1,0,2,0,3,0,0,0,3
2019-02-11,SEA,708,7,2,0,717,0,0,0,717
2019-02-12,MWH,3,8,3,0,14,0,0,0,14
2019-02-12,PAE,9,1,1,0,11,0,0,0,11
2019-02-12,SEA,1042,7,4,0,1053,0,0,0,1053
2019-02-13,MWH,36,27,32,39,134,218,45,263,397
2019-02-13,PAE,16,3,20,4,43,21,0,21,64
2019-02-13,SEA,1083,12,2,0,1097,0,0,0,1097
2019-02-14,MWH,15,2,0,20,37,0,14,14,51
2019-02-14,PAE,24,0,37,2,63,61,0,61,124
2019-02-14,SEA,1155,13,2,0,1170,0,0,0,1170
2019-02-15,MWH,16,3,4,0,23,0,0,0,23
2019-02-15,PAE,16,3,74,0,93,78,0,78,171
2019-02-15,SEA,1195,13,9,0,1217,0,0,0,1217
2019-02-16,MWH,24,1,5,0,30,0,0,0,30
2019-02-16,PAE,2,1,59,0,62,22,0,22,84
2019-02-16,SEA,1001,4,4,0,1009,0,0,0,1009
2019-02-17,MWH,18,2,6,0,26,0,0,0,26
2019-02-17,PAE,10,1,98,2,111,190,0,190,301
2019-02-17,SEA,1030,4,7,0,1041,0,0,0,1041
2019-02-18,MWH,17,15,17,0,49,0,0,0,49
2019-02-18,PAE,7,8,101,0,116,194,0,194,310
2019-02-18,SEA,1157,15,3,0,1175,0,0,0,1175
2019-02-19,MWH,8,87,17,37,149,105,48,153,302
2019-02-19,PAE,11,0,26,2,39,2,0,2,41
2019-02-19,SEA,1163,13,2,0,1178,0,0,0,1178
2019-02-20,MWH,22,48,22,18,110,278,4,282,392
2019-02-20,PAE,10,3,79,0,92,85,0,85,177
2019-02-20,SEA,1125,18,2,0,1145,0,0,0,1145
2019-02-21,MWH,6,113,35,34,188,310,36,346,534
2019-02-21,PAE,8,3,309,0,320,175,0,175,495
2019-02-21,SEA,1169,13,7,0,1189,0,0,0,1189
2019-02-22,MWH,30,9,10,10,59,0,6,6,65
2019-02-22,PAE,6,7,13,0,26,9,0,9,35
2019-02-22,SEA,1187,14,4,1,1206,0,0,0,1206
2019-02-23,MWH,8,2,10,0,20,0,0,0,20
2019-02-23,PAE,13,0,60,0,73,168,0,168,241
2019-02-23,SEA,1002,8,2,0,1012,0,0,0,1012
2019-02-24,MWH,4,0,6,4,14,0,0,0,14
2019-02-24,PAE,3,2,124,0,129,99,0,99,228
2019-02-24,SEA,1070,5,4,1,1080,0,0,0,1080
2019-02-25,MWH,14,92,7,21,134,159,7,166,300
2019-02-25,PAE,3,7,128,0,138,190,0,190,328
2019-02-25,SEA,1117,20,9,0,1146,0,0,0,1146
2019-02-26,MWH,26,74,29,6,135,339,12,351,486
2019-02-26,PAE,4,4,183,0,191,214,0,214,405
2019-02-26,SEA,1122,14,1,0,1137,0,0,0,1137
2019-02-27,MWH,28,4,7,4,43,0,0,0,43
2019-02-27,PAE,18,9,130,20,177,241,2,243,420
2019-02-27,SEA,1115,14,9,1,1139,0,0,0,1139
2019-02-28,MWH,8,4,7,0,19,0,0,0,19
2019-02-28,PAE,27,4,191,0,222,259,0,259,481
2019-02-28,SEA,1183,13,5,0,1201,0,0,0,1201
2019-03-01,MWH,44,4,10,0,58,36,0,36,94
2019-03-01,PAE,10,6,202,2,220,184,0,184,404
2019-03-01,SEA,1180,16,4,0,1200,0,0,0,1200
2019-03-02,MWH,10,0,11,3,24,0,0,0,24
2019-03-02,PAE,3,1,276,0,280,263,0,263,543
2019-03-02,SEA,1020,7,7,0,1034,0,0,0,1034
2019-03-03,MWH,6,0,32,0,38,14,0,14,52
2019-03-03,PAE,7,0,254,0,261,166,0,166,427
2019-03-03,SEA,1080,2,11,0,1093,0,0,0,1093
2019-03-04,MWH,8,89,32,18,147,317,20,337,484
2019-03-04,PAE,17,2,165,0,184,121,0,121,305
2019-03-04,SEA,1169,12,9,0,1190,0,0,0,1190
2019-03-05,MWH,10,103,11,37,161,288,66,354,515
2019-03-05,PAE,27,1,197,6,231,191,0,191,422
2019-03-05,SEA,1139,19,6,0,1164,0,0,0,1164
2019-03-06,MWH,14,8,8,9,39,0,0,0,39
2019-03-06,PAE,30,0,41,3,74,91,0,91,165
2019-03-06,SEA,1127,11,0,0,1138,0,0,0,1138
2019-03-07,MWH,12,52,21,18,103,184,0,184,287
2019-03-07,PAE,38,1,28,0,67,30,0,30,97
2019-03-07,SEA,1172,11,5,1,1189,0,0,0,1189
2019-03-08,MWH,12,16,13,17,58,2,21,23,81
2019-03-08,PAE,35,7,73,0,115,88,0,88,203
2019-03-08,SEA,1174,15,3,1,1193,0,0,0,1193
2019-03-09,MWH,33,9,19,4,65,20,0,20,85
2019-03-09,PAE,21,1,290,1,313,276,0,276,589
2019-03-09,SEA,1026,9,1,0,1036,0,0,0,1036
2019-03-10,MWH,12,4,34,3,53,16,0,16,69
2019-03-10,PAE,34,0,212,1,247,231,0,231,478
2019-03-10,SEA,1094,6,4,0,1104,0,0,0,1104
2019-03-11,MWH,6,4,16,25,51,0,0,0,51
2019-03-11,PAE,51,4,93,3,151,76,0,76,227
2019-03-11,SEA,1169,22,7,0,1198,0,0,0,1198
2019-03-12,MWH,14,4,6,17,41,0,14,14,55
2019-03-12,PAE,43,8,18,0,69,11,0,11,80
2019-03-12,SEA,1175,13,5,0,1193,0,0,0,1193
2019-03-13,MWH,20,117,29,38,204,313,33,346,550
2019-03-13,PAE,49,10,118,0,177,126,0,126,303
2019-03-13,SEA,1135,16,9,0,1160,0,0,0,1160
2019-03-14,MWH,23,118,42,45,228,168,36,204,432
2019-03-14,PAE,47,7,183,7,244,271,8,279,523
2019-03-14,SEA,1168,18,12,1,1199,0,0,0,1199
2019-03-15,MWH,8,4,32,18,62,7,9,16,78
2019-03-15,PAE,37,2,184,0,223,302,0,302,525
2019-03-15,SEA,1191,11,5,0,1207,0,0,0,1207
2019-03-16,MWH,10,0,29,0,39,2,0,2,41
2019-03-16,PAE,35,1,204,0,240,260,0,260,500
2019-03-16,SEA,1045,7,7,0,1059,0,0,0,1059
2019-03-17,MWH,22,1,27,0,50,28,0,28,78
2019-03-17,PAE,35,0,216,0,251,155,0,155,406
2019-03-17,SEA,1086,6,2,0,1094,0,0,0,1094
2019-03-18,MWH,14,95,33,30,172,216,20,236,408
2019-03-18,PAE,33,4,153,0,190,155,0,155,345
2019-03-18,SEA,1183,19,3,0,1205,0,0,0,1205
2019-03-19,MWH,30,112,46,24,212,205,8,213,425
2019-03-19,PAE,40,2,188,0,230,217,0,217,447
2019-03-19,SEA,1178,14,5,0,1197,0,0,0,1197
2019-03-20,MWH,9,49,44,69,171,96,52,148,319
2019-03-20,PAE,39,2,242,10,293,227,72,299,592
2019-03-20,SEA,1170,12,3,0,1185,0,0,0,1185
2019-03-21,MWH,13,52,46,17,128,154,24,178,306
2019-03-21,PAE,52,2,190,1,245,196,0,196,441
2019-03-21,SEA,1179,16,3,1,1199,0,0,0,1199
2019-03-22,MWH,28,31,38,18,115,100,12,112,227
2019-03-22,PAE,43,4,158,0,205,244,0,244,449
2019-03-22,SEA,1175,14,4,0,1193,0,0,0,1193
2019-03-23,MWH,18,0,32,0,50,16,0,16,66
2019-03-23,PAE,42,4,204,0,250,344,0,344,594
2019-03-23,SEA,1054,4,9,0,1067,0,0,0,1067
2019-03-24,MWH,20,0,2,0,22,0,0,0,22
2019-03-24,PAE,40,1,212,0,253,161,0,161,414
2019-03-24,SEA,1096,4,3,0,1103,0,0,0,1103
2019-03-25,MWH,20,11,24,42,97,20,54,74,171
2019-03-25,PAE,44,6,105,2,157,74,0,74,231
2019-03-25,SEA,1167,11,8,0,1186,0,0,0,1186
2019-03-26,MWH,9,10,30,33,82,40,32,72,154
2019-03-26,PAE,40,4,148,1,193,126,0,126,319
2019-03-26,SEA,1176,15,8,1,1200,0,0,0,1200
2019-03-27,MWH,23,4,19,71,117,8,68,76,193
2019-03-27,PAE,40,4,194,0,238,239,0,239,477
2019-03-27,SEA,1157,17,3,0,1177,0,0,0,1177
2019-03-28,MWH,12,8,30,27,77,2,50,52,129
2019-03-28,PAE,61,8,178,0,247,245,0,245,492
2019-03-28,SEA,1198,17,10,0,1225,0,0,0,1225
2019-03-29,MWH,3,11,20,19,53,6,18,24,77
2019-03-29,PAE,40,2,226,10,278,221,20,241,519
2019-03-29,SEA,1188,11,7,0,1206,0,0,0,1206
2019-03-30,MWH,0,0,38,0,38,4,0,4,42
2019-03-30,PAE,38,0,301,0,339,234,0,234,573
2019-03-30,SEA,1040,5,2,0,1047,0,0,0,1047
2019-03-31,MWH,10,0,23,0,33,13,0,13,46
2019-03-31,PAE,42,0,239,0,281,151,0,151,432
2019-03-31,SEA,1130,3,4,0,1137,0,0,0,1137
2019-04-01,MWH,26,86,32,51,195,322,30,352,547
2019-04-01,PAE,49,4,165,0,218,185,0,185,403
2019-04-01,SEA,1197,17,8,0,1222,0,0,0,1222
2019-04-02,MWH,12,82,32,60,186,216,43,259,445
2019-04-02,PAE,49,7,133,2,191,129,0,129,320
2019-04-02,SEA,1175,18,6,0,1199,0,0,0,1199
2019-04-03,MWH,16,77,23,82,198,280,171,451,649
2019-04-03,PAE,55,8,31,0,94,9,0,9,103
2019-04-03,SEA,1166,17,1,0,1184,0,0,0,1184
2019-04-04,MWH,4,131,32,47,214,270,33,303,517
2019-04-04,PAE,44,5,211,0,260,209,11,220,480
2019-04-04,SEA,1186,12,7,0,1205,0,0,0,1205
2019-04-05,MWH,37,6,8,2,53,20,0,20,73
2019-04-05,PAE,41,12,66,0,119,65,0,65,184
2019-04-05,SEA,1192,10,2,0,1204,0,0,0,1204
2019-04-06,MWH,2,0,7,9,18,8,0,8,26
2019-04-06,PAE,41,2,25,0,68,19,0,19,87
2019-04-06,SEA,1043,7,6,0,1056,0,0,0,1056
2019-04-07,MWH,10,6,16,5,37,22,0,22,59
2019-04-07,PAE,40,4,122,0,166,115,0,115,281
2019-04-07,SEA,1118,3,4,2,1127,0,0,0,1127
2019-04-08,MWH,12,24,5,39,80,66,42,108,188
2019-04-08,PAE,45,2,65,1,113,73,0,73,186
2019-04-08,SEA,1187,13,1,0,1201,0,0,0,1201
2019-04-09,MWH,5,87,12,39,143,209,24,233,376
2019-04-09,PAE,43,4,86,0,133,140,0,140,273
2019-04-09,SEA,1179,14,7,0,1200,0,0,0,1200
2019-04-10,MWH,18,97,44,43,202,177,52,229,431
2019-04-10,PAE,46,3,38,2,89,13,0,13,102
2019-04-10,SEA,1179,11,3,0,1193,0,0,0,1193
2019-04-11,MWH,16,136,23,68,243,180,48,228,471
2019-04-11,PAE,44,6,52,0,102,16,0,16,118
2019-04-11,SEA,1195,18,7,0,1220,0,0,0,1220
2019-04-12,MWH,16,17,17,29,79,16,0,16,95
2019-04-12,PAE,47,4,199,2,252,132,0,132,384
2019-04-12,SEA,1211,11,4,0,1226,0,0,0,1226
2019-04-13,MWH,12,2,3,3,20,9,0,9,29
2019-04-13,PAE,38,0,45,0,83,0,0,0,83
2019-04-13,SEA,1044,5,1,0,1050,0,0,0,1050
2019-04-14,MWH,0,0,13,2,15,16,0,16,31
2019-04-14,PAE,40,1,89,0,130,139,0,139,269
2019-04-14,SEA,1130,6,3,0,1139,0,0,0,1139
2019-04-15,MWH,4,131,41,34,210,284,52,336,546
2019-04-15,PAE,45,7,186,0,238,135,0,135,373
2019-04-15,SEA,1202,12,9,0,1223,0,0,0,1223
2019-04-16,MWH,12,125,40,20,197,378,0,378,575
2019-04-16,PAE,49,5,93,0,147,73,0,73,220
2019-04-16,SEA,1190,15,7,0,1212,0,0,0,1212
2019-04-17,MWH,26,84,41,27,178,193,2,195,373
2019-04-17,PAE,48,3,134,0,185,96,0,96,281
2019-04-17,SEA,1179,16,3,0,1198,0,0,0,1198
2019-04-18,MWH,26,126,40,21,213,260,0,260,473
2019-04-18,PAE,43,5,154,2,204,127,0,127,331
2019-04-18,SEA,1197,12,4,0,1213,0,0,0,1213
2019-04-19,MWH,35,6,27,12,80,24,8,32,112
2019-04-19,PAE,48,3,73,2,126,57,0,57,183
2019-04-19,SEA,1170,13,5,0,1188,0,0,0,1188
2019-04-20,MWH,38,0,28,0,66,42,0,42,108
2019-04-20,PAE,44,0,297,0,341,165,0,165,506
2019-04-20,SEA,1067,4,2,0,1073,0,0,0,1073
2019-04-21,MWH,2,0,15,1,18,20,0,20,38
2019-04-21,PAE,43,0,207,0,250,166,0,166,416
2019-04-21,SEA,1127,5,3,0,1135,0,0,0,1135
2019-04-22,MWH,9,131,33,45,218,247,55,302,520
2019-04-22,PAE,41,7,114,0,162,74,0,74,236
2019-04-22,SEA,1210,8,9,0,1227,0,0,0,1227
2019-04-23,MWH,10,97,18,22,147,262,44,306,453
2019-04-23,PAE,47,1,100,0,148,145,0,145,293
2019-04-23,SEA,1174,14,7,0,1195,0,0,0,1195
2019-04-24,MWH,11,120,29,51,211,359,66,425,636
2019-04-24,PAE,44,2,293,2,341,282,0,282,623
2019-04-24,SEA,1181,14,3,0,1198,0,0,0,1198
2019-04-25,MWH,30,126,37,42,235,202,49,251,486
2019-04-25,PAE,58,3,219,0,280,178,0,178,458
2019-04-25,SEA,1216,11,2,0,1229,0,0,0,1229
2019-04-26,MWH,8,7,29,9,53,12,16,28,81
2019-04-26,PAE,43,4,198,2,247,223,0,223,470
2019-04-26,SEA,1208,12,7,0,1227,0,0,0,1227
2019-04-27,MWH,10,0,10,1,21,0,0,0,21
2019-04-27,PAE,41,1,177,0,219,175,0,175,394
2019-04-27,SEA,1057,7,4,0,1068,0,0,0,1068
2019-04-28,MWH,10,0,16,0,26,34,0,34,60
2019-04-28,PAE,45,0,291,0,336,214,0,214,550
2019-04-28,SEA,1149,6,6,0,1161,0,0,0,1161
2019-04-29,MWH,15,90,32,17,154,228,14,242,396
2019-04-29,PAE,42,2,186,0,230,156,0,156,386
2019-04-29,SEA,1196,15,2,0,1213,0,0,0,1213
2019-04-30,MWH,31,122,41,27,221,394,35,429,650
2019-04-30,PAE,49,4,247,0,300,192,0,192,492
2019-04-30,SEA,1185,16,20,0,1221,0,0,0,1221
2019-05-01,MWH,8,117,45,22,192,402,27,429,621
2019-05-01,PAE,42,5,199,0,246,248,0,248,494
2019-05-01,SEA,1198,19,12,0,1229,0,0,0,1229
2019-05-02,MWH,13,115,34,41,203,162,53,215,418
2019-05-02,PAE,53,7,190,0,250,179,0,179,429
2019-05-02,SEA,1221,14,5,0,1240,0,0,0,1240
2019-05-03,MWH,8,4,27,8,47,38,0,38,85
2019-05-03,PAE,44,6,209,3,262,238,0,238,500
2019-05-03,SEA,1251,9,12,2,1274,0,0,0,1274
2019-05-04,MWH,8,0,24,0,32,32,0,32,64
2019-05-04,PAE,45,0,256,0,301,123,0,123,424
2019-05-04,SEA,1111,5,19,5,1140,0,0,0,1140
2019-05-05,MWH,0,0,23,0,23,18,0,18,41
2019-05-05,PAE,43,5,262,0,310,188,0,188,498
2019-05-05,SEA,1165,3,8,2,1178,0,0,0,1178
2019-05-06,MWH,7,115,29,20,171,288,12,300,471
2019-05-06,PAE,47,9,186,0,242,139,1,140,382
2019-05-06,SEA,1235,12,4,0,1251,0,0,0,1251
2019-05-07,MWH,12,113,22,35,182,301,32,333,515
2019-05-07,PAE,45,7,206,0,258,215,0,215,473
2019-05-07,SEA,1211,16,10,0,1237,0,0,0,1237
2019-05-08,MWH,36,101,33,35,205,254,51,305,510
2019-05-08,PAE,42,1,221,0,264,191,0,191,455
2019-05-08,SEA,1227,12,11,0,1250,0,0,0,1250
2019-05-09,MWH,12,105,31,31,179,150,38,188,367
2019-05-09,PAE,43,5,218,1,267,256,0,256,523
2019-05-09,SEA,1247,18,12,0,1277,0,0,0,1277
2019-05-10,MWH,19,6,36,4,65,20,0,20,85
2019-05-10,PAE,45,2,248,0,295,197,0,197,492
2019-05-10,SEA,1247,11,7,0,1265,0,0,0,1265
2019-05-11,MWH,11,1,24,0,36,10,0,10,46
2019-05-11,PAE,47,2,343,0,392,177,1,178,570
2019-05-11,SEA,1119,6,7,0,1132,0,0,0,1132
2019-05-12,MWH,13,0,23,0,36,8,0,8,44
2019-05-12,PAE,44,2,141,0,187,155,0,155,342
2019-05-12,SEA,1185,3,5,0,1193,0,0,0,1193
2019-05-13,MWH,0,121,27,42,190,265,60,325,515
2019-05-13,PAE,46,4,144,0,194,107,0,107,301
2019-05-13,SEA,1251,14,5,0,1270,0,0,0,1270
2019-05-14,MWH,17,90,25,29,161,212,69,281,442
2019-05-14,PAE,41,3,61,0,105,73,0,73,178
2019-05-14,SEA,1240,21,8,0,1269,0,0,0,1269
2019-05-15,MWH,12,71,52,41,176,208,24,232,408
2019-05-15,PAE,46,7,198,0,251,349,13,362,613
2019-05-15,SEA,1230,14,10,2,1256,0,0,0,1256
2019-05-16,MWH,18,85,28,70,201,393,98,491,692
2019-05-16,PAE,46,3,105,2,156,182,0,182,338
2019-05-16,SEA,1261,15,5,0,1281,0,0,0,1281
2019-05-17,MWH,24,4,20,12,60,5,16,21,81
2019-05-17,PAE,48,3,74,0,125,117,0,117,242
2019-05-17,SEA,1259,8,8,0,1275,0,0,0,1275
2019-05-18,MWH,4,2,35,0,41,48,0,48,89
2019-05-18,PAE,40,2,272,0,314,258,0,258,572
2019-05-18,SEA,1110,4,5,2,1121,0,0,0,1121
2019-05-19,MWH,10,0,5,2,17,1,0,1,18
2019-05-19,PAE,48,1,169,0,218,224,0,224,442
2019-05-19,SEA,1190,10,9,0,1209,0,0,0,1209
2019-05-20,MWH,12,96,35,18,161,224,6,230,391
2019-05-20,PAE,44,3,77,0,124,45,0,45,169
2019-05-20,SEA,1238,14,7,0,1259,0,0,0,1259
2019-05-21,MWH,31,110,28,24,193,286,42,328,521
2019-05-21,PAE,45,1,95,0,141,184,0,184,325
2019-05-21,SEA,1254,14,8,0,1276,0,0,0,1276
2019-05-22,MWH,8,72,13,27,120,141,24,165,285
2019-05-22,PAE,44,5,217,2,268,247,0,247,515
2019-05-22,SEA,1250,16,9,0,1275,0,0,0,1275
2019-05-23,MWH,12,82,25,38,157,136,54,190,347
2019-05-23,PAE,52,4,284,0,340,304,0,304,644
2019-05-23,SEA,1266,14,8,0,1288,0,0,0,1288
2019-05-24,MWH,26,6,10,1,43,28,0,28,71
2019-05-24,PAE,51,8,78,0,137,22,0,22,159
2019-05-24,SEA,1273,11,2,0,1286,0,0,0,1286
2019-05-25,MWH,8,1,12,0,21,0,0,0,21
2019-05-25,PAE,42,1,77,0,120,39,0,39,159
2019-05-25,SEA,1138,6,5,0,1149,0,0,0,1149
2019-05-26,MWH,0,0,9,0,9,0,0,0,9
2019-05-26,PAE,42,0,126,0,168,180,0,180,348
2019-05-26,SEA,1126,1,1,0,1128,0,0,0,1128
2019-05-27,MWH,0,0,27,6,33,50,0,50,83
2019-05-27,PAE,38,0,332,0,370,201,8,209,579
2019-05-27,SEA,1210,3,5,0,1218,0,0,0,1218
2019-05-28,MWH,10,106,24,15,155,230,5,235,390
2019-05-28,PAE,44,3,121,0,168,200,0,200,368
2019-05-28,SEA,1253,13,8,1,1275,0,0,0,1275
2019-05-29,MWH,41,135,46,27,249,217,49,266,515
2019-05-29,PAE,51,8,184,13,256,215,0,215,471
2019-05-29,SEA,1246,12,11,2,1271,0,0,0,1271
2019-05-30,MWH,12,140,34,36,222,243,40,283,505
2019-05-30,PAE,52,3,186,8,249,233,0,233,482
2019-05-30,SEA,1293,15,9,0,1317,0,0,0,1317
2019-05-31,MWH,2,15,27,15,59,12,14,26,85
2019-05-31,PAE,48,4,186,0,238,175,0,175,413
2019-05-31,SEA,1288,10,7,0,1305,0,0,0,1305
2019-06-01,MWH,18,2,28,2,50,18,0,18,68
2019-06-01,PAE,42,1,270,0,313,239,0,239,552
2019-06-01,SEA,1150,10,13,0,1173,0,0,0,1173
2019-06-02,MWH,7,2,21,3,33,26,6,32,65
2019-06-02,PAE,47,0,230,0,277,203,0,203,480
